film_key,review_clean
Memories of Murder (2003),"A chilling narrative about the incompetency of the policing standard in the 80s, Memories of Murder delves into the investigation of the rapes and murders of several women in an urban district of South Korea. Great performances from the cast and Bong Joon-Ho creates an eerie and stressful atmosphere with his cinematography. The ending leaves you empty yet satisfied, leaving you to fill in the gaps in the case as if you were one of the protagonists."
Dead Poets Society (1989),"Dead Poets Society is a heartfelt, tear-jerking story of a group of boys learning how to express themselves through poetry and art. The chemistry between the cast is exceptional and it feels like a real group of friends. Robin Williams was just fantastic in any role he played, and Dead Poets Society is no different. He plays the emphatic English teacher that inspires the group to pursue what was true to themselves."
Sexy Beast (2000),"A heavily underrated crime boss movie that twists every expectation of the sub-genre, boasting a solid performance from Ray Winstone and an absolutely timeless one from Ben Kingsley. Glazer has one of the coolest filmographies out there."
The King's Man (2021),"A minor improvement on the shambles that was the second film, The King's Man is an okay addition to the Kingsman franchise but fails when it takes itself too seriously. A predictable plot twist that wasn't really necessary. More Rasputin would have been appreciated, and I strongly believe he would have served as a better antagonist."
Pulp Fiction (1994),"A lot slower paced than Tarantino's other films, but I didn't mind at all. The direction and production is very good as always with a cast that's perfectly suited to providing an engaging atmosphere across overlapping storylines."
Rushmore (1998),"This is Wes Anderson's best film. It delivers on all fronts from being funny and wholesome, while also being deep and emotional."
The Darjeeling Limited (2007),The premise of this film of it being told as the journey progresses along the train is brilliant and by far the best part about this film. The scenery and atmosphere are beautiful but I feel like it could have been taken a bit further with a deeper dive into the relationships between the characters to make it even more poignant.
The Silence of the Lambs (1991),Anthony Hopkins is perfect in every scene he's in and steals the show in the little over 16 minutes he's on screen.
The Godfather (1972),"Ok, I get the hype."
The Shining (1980),Jack Nicholson and Shelley Duvall are utter perfection in this.
Indiana Jones and the Temple of Doom (1984),These movies are much darker than I thought they'd be. Also I'm gonna have the theme stuck in my head for ages.
Racing Stripes (2005),"Racing Stripes is a vacuous mix of Cars and Babe and manages to be worse than both. The CGI on the mouths of the talking animals is so distractingly bad that it almost makes me forget about the horrible dialogue coming of them- they somehow manage to stuff every clichéd line you could possibly think of and get 102 minutes out of it. All that dragged out time to reach a conclusion that I could have told you by reading the title or looking at the poster. The film exhausts every possible way of saying that Stripes doesn't fit in and that he's the underdog that you become tired with the number of times it's said, as if we didn't understand that the first time or from the fact that he's a zebra racing amongst horses. I really don't know why I watched this. The 1 1/2 stars is for imagining what it looked like watching David Spade delivering lines about eating horse shit. Also Wendie Malick playing Beatrice Horseman in human form."
Legend (1985),"Legend doesn't offer much more than it's stunning looks. The story is an incoherent attempt at a fairy tale version of Blade Runner - the characters are one-dimensional, the dialogue is pretty poor and the story doesn't really go anywhere interesting. I think it may have fell victim to Ridley Scott's aim to make this a dark adventure story, but it doesn't really stick to either direction of tone. It should have either been a light, heartfelt film with a vividly impactful style or a darker fantasy tale. Ridley Scott doesn't really make that distinction with Legend , but yeah, it really does look phenomenal, and Tim Curry's devil is just superb."
"Hail, Caesar! (2016)","Hail, Caesar! is the Coen brothers' love letter to cinema by being a comedy, mystery, historical drama all at once while not being that good at any of them. I feel like it was just a barrage of niche references or homages that I didn't get, along with an overstuffed format, which made the whole experience pretty boring. There are definitely moments I enjoyed, notably Josh Brolin and Alden Ehrenreich's performances as well as Channing Tatum's dance routine, but they're not enough to redeem this into being more than just an average film."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Probably the weakest of the Kubrick films I've seen, but mainly because I feel the humour doesn't really translate over as well over time. There were definitely moments were I laughed, like when Ripper blamed his decline in the bedroom on a conspiracy theory that the Russian's were poisoning the water, but in general I felt I couldn't really connect with any of the characters. This disconnect as well as the dark comedy combined with superficial characterisation do make for a pretty brilliant political satire which pokes fun at the poor decision making in government institutions (particularly during the Cold War)."
Kimi (2022),I'm glad I'm not the only one who does the awkward hand wave to dry my hands after using hand sanitiser.
Perfect Blue (1997),"A sign of a great film is not being able to stop thinking about it once the credits roll. That's exactly what Satoshi Kon has achieved with his debut feature Perfect Blue . A story of expectations, of both oneself and from others, and whether these bars that are set for us are too high to reach. It would be hard to write a review about Perfect Blue and not talk about the prominent film that it inspired, Darren Aronofsky's Black Swan . While Black Swan tackles the theme of obsession as the incessant practice to master one's craft, Perfect Blue flips that on it's head, and looks at obsession in the way in which it is directed to someone in the limelight. It sees fame as an outlet to which young women are often exploited, with their decisions being made without their consent. As a result, a rift is formed in Mima's very being, splitting herself into 3 distinct parts: one which conforms to the patriarchal view of what she should be, one which remains as a pop star that blindly follows the path that others have set out for her, and the other which exists outside these two paths, but deems herself to be a victim of her own shortcomings and failures and so succumbs to a murderous instinct. But more than that, this third persona is deemed unworthy by an industry she has given up everything for, just to be replaced by someone younger without a second thought. Perfect Blue expertly creates a blur between reality and dream- Mima's final words of ""No. I'm the real thing"" offer hopefulness, in that she is living proof that it is possible to leave this box of expectations. And while I am a sucker for an ambiguous ending, this one seems fitting enough."
The Godfather Part II (1974),"While The Godfather was a grandiose, flashy introduction into the Corleone family as part of larger mafia empire, The Godfather: Part II treats this as the norm, as a way of life. Don Michael Corleone is a leader who keeps his cards close to his chest; who doesn't need ostentatious displays of his power to make the others in the room feel it. In fact, we don't see Michael directly impact anything throughout the film, and instead his direction is fed through his chain of command, with instructions delivered through something as simple as a glare. That's the genius of this film- Michael stares deep within the souls of those around him, while he slowly loses his own. In the final shot, we see a close up of Michael, covering his mouth with his hand, but with his eyes in full view, as he calmly sits, contemplating all that he has lost."
Schindler's List (1993),There's not much else I can say other than that this is a masterpiece. It's been said a million times but how on Earth do you put this and Jurassic Park out in the same year?
Spectre (2015),"Spectre had all the ingredients to become a great Bond film: Christoph Waltz as the villain, Léa Seydoux as a Bond girl, and Sam Mendes returning to direct after bringing us the brilliance that was Skyfall . But unfortunately it just falls flat. For starters, the title sequence was horrible, and the song doesn't really do it for me. Also, by no means am I saying Waltz was a bad villain, in fact, his presence was menacing, but I found his introduction and his very existence to be pretty lazily written. To just say that he was behind everything that Bond has endured comes out of nowhere, and it just feels all a bit too coincidental. Overall, Spectre is visually impressive (although not quite as impressive as Roger Deakins' work on Skyfall ), but undeniably dull."
Vertigo (1958),"The dream sequence was my favourite part, but I think it may take some time for me to fully appreciate this for what it is."
The Thing (1982),"John Carpenter's The Thing goes perfectly hand in hand with Ridley Scott's Alien in that they are both pinnacles of their genre that make use of some grotesque yet impressive practical effects. Carpenter instills a chilling sense of fear and paranoia; the type that causes friends to turn on each other in an instant, bringing forth a layer of harsh unpredictability. The score only further adds to this chilling atmosphere, if the unforgiving Antarctic blizzards weren't enough. All these aspects combined with Kurt Russells iconic performance cement The Thing as an absolute classic and a staple in the horror genre."
House (1977),There's a point in this film where they mimicked the saxophone in the score with the cat's meowing and I feel like that really resonated with me on a spiritual level.
Scarface (1983),Yet another stellar performance from Al Pacino that he didn't win an Oscar for. Devastating.
My Neighbor Totoro (1988),This was so cute. I just couldn't stop smiling throughout. There's something about Studio Ghibli films that make me so inexplicably happy. I think I preferred this to Spirited Away .
Kiki's Delivery Service (1989),"One of the things I like most about Hayao Miyazaki's films is that there's no need for an antagonist. The only battle is the overcoming of one's struggles, which makes them all the more personal and wholesome. In Kiki's Delivery Service , this struggle is both responsibility and self confidence. I loved the little detail at the end how Jiji meowed instead of talked, signifying that Kiki doesn't quite have everything under control, and she still has some improvement left to do if she wants to make it back to her best."
Rashomon (1950),That shot with the medium was so cool.
Chungking Express (1994),"Chungking Express has this ethereal dreaminess to it, a similar feeling captured in Sofia Coppola's Lost in Translation . While visually striking and poetically written, I do think it missed out on not having a more substantial bridge between the storylines in its two halves, rather than just a thematic one."
Shang-Chi and the Legend of the Ten Rings (2021),"The best action sequences and some of the best cinematography in the MCU. Tony Leung kills it in every scene, making Wenwu easily top 5 villains. Needed less Awkwafina and more Michelle Yeoh though. Wish the climax wasn't a big CG fest, but hey it's the MCU, what you gonna do? Also, Anderson .Paak's Fire In The Sky in the end credits may be one of my favourite outro songs to a film."
