film_key,review_clean
Morbius (2022),My 1 star is for Matt Smith
Interceptor (2022),"Extremely cringey, really feels like a really cheap proganda film for america 🇺🇸 Elsas huge arms are the only good thing apart from some of the fight scenes"
Me Time (2022),I am not afraid to admit that this made me giggle out loud multiple times. good music also. made me feel like a bad bitch
Thor: Love and Thunder (2022),still love it
Do Revenge (2022),"so many twists and turns, it's the game of thrones of american high school also that sound track is so fucking good"
Uncharted (2022),better on the second watch for some reason
The Wonder (2022),"very slow burn, but somehow really captivating"
Your Christmas or Mine? (2022),"literally so many issues with this film. most importantly how did the dog survive a shot to the head. and how did they all fit in that van legally, that's just tragic accident waiting to happen also hayley is a huge walking red flag. rude bitch"
Transformers: Revenge of the Fallen (2009),you can tell this was made during the writers strike because the whole movie feels like white noise with a hint of american propaganda
The Good Nurse (2022),"Both Jessica Chastain and Eddie Redmayne are so so good and the story is great, but my god this felt 4 hours long"
The Lego Movie 2: The Second Part (2019),not as good as the first one but still great. the songs hit so hard
Monsters vs Aliens (2009),real cinema.
Ticket to Paradise (2022),this would be so much better if it was a musical.
Don't Worry Darling (2022),You'd think if a film has this much drama and controversy around it. they'd at least make it good
Black Panther: Wakanda Forever (2022),"I want to love it. the acting, effects and characters are so top tier, but the plot is so loose and weak with that VibRainuM DetEctor"
Emily the Criminal (2022),i support Emily she did no wrong in my eyes. (she did a lot wrong and should definitely be in prison)
Triple Frontier (2019),when i first watched this i thought it would be a great dad movie. but watching it again over the sound of my dads snoring disproved this hypothesis
The Cabin in the Woods (2011),Still don't really like horror movies. Sorry not sorry
Gulliver's Travels (2010),for an 85 minute film. this somehow went on for hours
The Out-Laws (2023),dear god i couldn't even bring myself to finish the whole movie. that main character is so annoying i want to hit him with my car
In the Loop (2009),you are a boring F star star CUNT the writing and line delivery in this really is incredible
Man of Steel (2013),its not amazing but it certainly is a spectacle. i wish i saw in a cinema sm
Batman v Superman: Dawn of Justice (2016),Wish this was better than it is. It's so incoherent and silly
Happiness for Beginners (2023),Aw actually quite sweet tbf. not particularly good tho
M3GAN (2022),Love a movie that knows exactly what it is and doesn't pretend to be anything different
Man Up (2015),Yet another badly written Rom com that's actually quite sweet
Percy Jackson & the Olympians: The Lightning Thief (2010),Most of the film makes so little sense. But kinda love it anyway
Indiana Jones and the Dial of Destiny (2023),"Pretty good film to watch while doing a puzzle, kept me entertained Does feel like Harrison Ford was a bit too old for this, verging on a little cruel"
Rebel Moon – Part One: A Child of Fire (2023),First act was almost quite good. But then the most boring movie I've seen in years followed Stop letting Zach Snyder cook pleaseee
Bottoms (2023),There is something so refreshing about how unseriously this film takes itself and I love it so so much. It's just really fucking funny
This Is Me…Now (2024),"Felt like an actual fucking hallucination. This is literally impossible to categorise, it don't think there is another piece of media remotely like it"
Ricky Stanicky (2024),Classic case of using all the funny jokes in the trailer. And tbh they weren't even that funny
Ferrari (2023),"Can't decide if this was an interesting slow burn, or a boring movie with some cool scenes mixed in"
Rebel Moon – Part Two: The Scargiver (2024),"The fact that Zack Snyder wants to make more of these should be considered an actual threat. Watched this one out of pure curiosity, won't let my curiosity win again any time soon"
Bodies Bodies Bodies (2022),"Somehow completely forgot half the plot of this on rewatch, little bit concerned for my memory still very funny on second watch, using upper middle class as a slur is so real"
The Instigators (2024),quite a witty movie but ultimately very forgettable really
The End We Start From (2023),"Not what I was expecting at all. Jodie Comer delivers an incredible performance surrounded by a great ensemble of familiar faces. Pacing was a little bit slow for my liking, but it fits the film"
Iron Man 2 (2010),not as good as the first one. but i love it regardless
High School Musical 2 (2007),"an insanely good movie filled with huge plot holes, awful line reading, horrible green screen and INCREDIBLE MUSICAL NUMBERS"
I Used to Be Funny (2023),"hmmm. a very well put together dark comedy, but with all too heavy emphasis on the dark"
